lsoa,mean_household_income,energy efficiency,fuel poverty,year_built,heating score,ownership score
E01000185,28702,67.62826086956522,13.7,1954,120.3264159100735,88.51771117166211
E01000186,62120,54.09090909090909,11.2,1939,101.4920017293558,74.45095367847412
E01000187,42229,59.86147186147186,15.1,1939,118.48594898400346,84.42677111716621
E01000188,64562,62.2565445026178,14.9,1939,104.59792477302204,76.26430517711172
E01000189,26704,80.80982367758186,15.8,2014,139.6018158236057,104.54904632152588
E01000190,55605,60.39622641509434,11.4,1939,110.08560311284047,80.80108991825612
E01000191,60040,65.15857605177993,11.0,1939,108.0272373540856,78.5967302452316
E01000192,43858,59.56375838926174,21.2,1939,137.68266320795504,96.58106267029972
E01000193,46787,59.765957446808514,12.1,1939,120.44530912235192,84.98603542234332
E01000194,37242,59.6101083032491,9.0,1929,122.2775616083009,85.33889645776567
E01000195,30486,65.47117794486215,8.6,1992,137.92174664937312,96.6549727520436
E01000197,46650,58.46470588235294,15.8,1918,142.4703847816688,98.23978201634876
E01000198,54618,67.4,12.2,1929,138.70471249459575,98.40940054495913
E01000199,63631,64.72826086956522,13.8,1929,135.51491569390404,98.96730245231608
E01000200,55223,65.4376130198915,10.9,1918,172.9424989191526,124.06096730245233
E01000201,74514,58.111111111111114,13.6,1939,104.75443147427583,76.35865122615805
E01000202,63148,56.80503144654088,14.8,1918,131.14007782101166,92.51805177111716
E01000203,40474,65.8033088235294,10.0,1939,123.04755728491136,89.25204359673025
E01000204,57149,63.834210526315786,12.2,1918,138.29658452226542,98.65292915531334
E01000205,70783,52.04040404040404,11.3,1918,124.98875918720276,91.14816076294278
E01000206,106846,58.22491349480969,11.3,1939,102.94898400345868,74.375
E01000207,79329,56.665217391304346,16.1,1918,122.84133160397752,87.59707084468666
E01000208,71120,60.17210682492582,15.5,1939,125.64072632944227,90.2401226158038
E01000209,70646,52.72295514511873,11.0,1918,151.45568525724164,109.70299727520435
E01000210,69665,55.67796610169491,15.5,1939,120.7116299178556,86.10967302452316
E01000211,39980,60.825934579439256,14.5,1918,172.6152183311716,118.43494550408715
E01000212,73892,57.961977186311785,17.3,1918,135.7280587980977,98.20572207084469
E01000213,98527,54.82683982683983,18.3,1939,94.3830523130134,68.16519073569482
E01000214,65946,62.469835466179156,19.7,1918,115.18158236057069,79.63930517711171
E01000215,51051,63.43454545454546,21.8,1929,135.63380890618242,95.70163487738417
E01000216,57944,60.8445945945946,11.8,1918,137.69433635970597,96.3841961852861
E01000217,58919,58.02142857142857,19.8,1918,104.90012970168613,74.49114441416894
E01000218,51466,53.334158415841586,13.3,1918,114.26761781236488,79.625
E01000219,42215,61.22194513715711,18.7,1918,116.7073065283182,79.41519073569482
E01000220,41962,65.09655172413792,14.3,1918,117.23303069606573,79.74284741144415
E01000221,27934,68.4432132963989,14.7,1999,96.67444876783398,69.4233651226158
E01000222,33218,67.44632768361582,12.7,1939,101.43493298746218,72.93460490463215
E01000223,31157,61.25,12.8,1939,95.03069606571552,70.25647138964578
E01000224,37462,60.4078947368421,12.1,1939,104.8988326848249,74.97615803814713
E01000225,59993,63.601593625498005,11.0,1929,105.9597924773022,74.45470027247956
E01000226,28538,61.46058091286307,11.9,1929,124.86424556852572,92.77077656675748
E01000227,48612,56.90731707317073,10.9,1939,121.82879377431904,88.27043596730246
E01000228,54473,60.48275862068966,12.5,1939,95.43017725897104,70.0091961852861
E01000229,36445,61.74545454545454,10.9,1954,120.8750540423692,86.52656675749317
E01000230,48207,60.23225806451613,15.9,1939,131.82360570687416,96.11410081743868
E01000231,40104,58.78666666666667,12.8,1939,131.7423259835711,94.1982288828338
E01000232,47558,63.288184438040346,15.4,1939,141.72373540856032,100.64305177111714
E01000233,48880,58.333333333333336,14.9,1939,127.75486381322956,90.72309264305176
E01000234,50174,64.39698492462311,10.5,1939,131.35667963683525,92.96525885558584
E01000235,34791,64.06748466257669,18.2,1929,116.230869001297,84.15497275204358
E01000236,49966,63.338491295938105,13.0,1939,133.59792477302207,95.05381471389646
E01000237,48120,58.513011152416354,11.3,1929,147.55339386078683,102.12942779291554
E01000238,42310,59.276315789473685,14.5,1918,123.5905750108085,86.06198910081744
E01000239,37610,67.00785340314137,16.0,1992,173.87635105923044,118.86580381471389
E01000240,39954,58.754448398576514,12.0,1939,117.15391266753134,82.4741144414169
